σY,exp_action,expected_cost
"[377.3367353880424, 363.2125126052248, 323.7313979081805, 384.36911690877133, 368.1851312497952, 338.6850361650206, 385.1496417127629]",no_action,0.0
"[385.1496417127629, 349.53914863100806, 340.3507804204046, 370.86806012497584, 347.7184333083655, 355.3094317449237, 343.0347128004442]",no_action,0.0
"[343.0347128004442, 377.21120251983155, 380.0010523275608, 348.42220535457017, 365.52906827977387, 367.1534650480656, 377.8917567454596]",no_action,0.0
"[377.8917567454596, 345.45246071517994, 354.3762781722654, 368.9489053528371, 351.736471529215, 372.62915401813535, 346.6051762083154]",no_action,0.0
"[346.6051762083154, 381.5560710443868, 357.087608759103, 351.4897350392778, 351.4897350392778, 353.8120392708314, 344.7377178588127]",no_action,0.0
"[344.7377178588127, 349.0953981869283, 358.1410308144755, 363.69008980006134, 357.4018578673259, 359.0847012303403, 360.47011972453777]",no_action,0.0
"[360.47011972453777, 362.29999036805464, 348.51749796260486, 354.8130777181745, 344.94700387624204, 344.94700387624204, 370.1809588295751]",no_action,0.0
"[370.1809588295751, 345.78173541356364, 365.3326872887648, 364.32856109204, 360.08065731049084, 355.8396466364072, 354.7464380931133]",no_action,0.0
"[354.7464380931133, 362.12915369897144, 356.93811344136515, 358.5949595491482, 342.919241091522, 342.919241091522, 356.32672192137954]",no_action,0.0
"[356.32672192137954, 358.6557320269328, 373.7617741420913, 373.7617741420913, 373.64460336796486, 330.88786733525905, 373.971148046464]",no_action,0.0
"[373.971148046464, 355.9015574026511, 308.38129512489616, 370.9440692932034, 370.9440692932034, 362.47771726439487, 343.5438413208523]",no_action,100.0
"[343.5438413208523, 357.64376638657376, 366.98303421339045, 376.95360353040513, 353.4340525633043, 363.9774162332757, 359.2520247020688]",no_action,0.0
"[359.2520247020688, 353.84257339194215, 360.25606309180785, 358.45503422921973, 344.3502602012871, 332.85587753932674, 348.1213682118901]",no_action,100.0
"[348.1213682118901, 356.26008535443566, 367.32488081162944, 368.8824948257512, 374.6131262244875, 341.2167984424043, 357.4846416226807]",no_action,0.0
"[357.4846416226807, 351.3894994658895, 330.51505290682195, 368.0102535955768, 335.10620106825274, 346.506680298023, 372.99467507989743]",no_action,200.0
"[372.99467507989743, 367.32950055743134, 332.69015014176364, 372.47449261031215, 350.6908439629353, 369.83401956787384, 381.3295283723057]",no_action,0.0
"[381.3295283723057, 345.2963368440836, 367.20260036668105, 363.9722473979018, 344.87057712687533, 363.1804809753791, 364.1968359967413]",no_action,0.0
"[364.1968359967413, 344.5007557397143, 362.00350132130797, 362.00350132130797, 373.1605770444593, 353.69075823251774, 343.1753493384443]",no_action,0.0
"[343.1753493384443, 338.3554168121763, 344.89250330215305, 329.5843384788128, 357.98989290519023, 331.98200336958604, 368.9333831440022]",no_action,0.0
"[368.9333831440022, 334.3274614526828, 358.89901626536124, 360.34972062646005, 360.4530698037102, 351.63388343227683, 364.84752218892146]",no_action,100.0
"[364.84752218892146, 316.9261274498921, 364.82497649160257, 368.77346183986776, 330.5399314829071, 365.55069610867764, 359.17190424527683]",no_action,0.0
"[359.17190424527683, 341.51702021788765, 351.34260404806145, 356.27463959253595, 362.3803915855581, 354.40384436455076, 335.3267184795609]",no_action,0.0
"[335.3267184795609, 346.5117527977028, 372.20652583883196, 372.20652583883196, 372.20652583883196, 365.9419654408952, 346.14102770679494]",no_action,0.0
"[346.14102770679494, 350.25097365132564, 367.6423970231158, 376.92492997620826, 353.325548793298, 355.36208151896875, 365.02906362667983]",no_action,0.0
"[365.02906362667983, 351.044067433421, 363.03678927570087, 345.7447559889893, 381.2630942543062, 291.4489166911821, 302.6976853259288]",no_action,3000.0
"[302.6976853259288, 317.81118556115314, 326.8121574282028, 336.2880446724043, 314.38527053194287, 344.82618673687546, 351.7289432397606]",increase_resistance,3000.0
"[351.7289432397606, 357.35156342258915, 373.568586681487, 363.1051318551608, 350.4222790810176, 350.4222790810176, 344.9559769606119]",no_action,0.0
"[344.9559769606119, 355.40159248668596, 332.78308042280537, 348.2461389712879, 345.79713234105435, 364.41473450388753, 342.08414789935847]",no_action,100.0
"[342.08414789935847, 358.2029809786617, 358.87907626671324, 356.14999202467754, 362.2222776539918, 351.6495403807979, 343.10021296838687]",no_action,0.0
"[343.10021296838687, 373.8932143805353, 345.71565813662016, 366.41770878558333, 349.88569434094757, 383.07809369656985, 384.22570823466924]",no_action,0.0
"[384.22570823466924, 328.7301321230668, 316.242174833247, 331.23270554870277, 326.9758944190989, 318.7764006332439, 333.7514818176836]",increase_resistance,3100.0
"[333.7514818176836, 363.54540895885907, 367.48636226826846, 342.1527762626265, 372.72706198716634, 353.3449658621187, 370.79726772195943]",no_action,0.0
"[370.79726772195943, 370.79726772195943, 337.24210343611327, 369.42376092739363, 357.09927419098295, 362.9371878988306, 364.8485937885214]",no_action,0.0
"[364.8485937885214, 364.8485937885214, 352.3859956877692, 364.9129509594634, 353.0359183792867, 370.6028426151838, 372.6518037352084]",no_action,0.0
"[372.6518037352084, 344.4822791521296, 372.88148627653464, 358.91402762132907, 340.7402369010781, 373.71558889821216, 354.6852519027988]",no_action,0.0
"[354.6852519027988, 359.66209701309583, 349.77689076143685, 348.48917796416856, 355.55225208609147, 359.0047972038745, 359.1696803516365]",no_action,0.0
"[359.1696803516365, 349.1336592451805, 361.5099111835774, 354.1405359265436, 335.3492893144526, 341.23112340667, 342.1712221895208]",no_action,0.0
"[342.1712221895208, 364.00100074976535, 354.846182322478, 351.6998195017772, 362.83827309322226, 352.2564865237317, 353.7073443625423]",no_action,0.0
"[353.7073443625423, 381.7046875327882, 337.2195629754997, 373.8147852878476, 357.2028264680784, 375.84370303415596, 355.5522347855994]",no_action,0.0
"[355.5522347855994, 351.42439466607783, 356.146459407106, 340.5807500063303, 334.0223841276217, 371.3243843412393, 332.76022978157926]",no_action,0.0
"[332.76022978157926, 367.13879457900623, 373.3859681816042, 320.92916008580875, 376.4880081976447, 355.2219600017368, 342.2775511562756]",no_action,200.0
"[342.2775511562756, 370.8966017349635, 366.3520834515806, 366.17946060132306, 355.34510724064006, 367.749567618956, 343.77871049072365]",no_action,100.0
"[343.77871049072365, 358.0487059716866, 344.91833549769177, 361.95773840523515, 363.5959958706537, 358.7010343300792, 348.7457638085892]",no_action,0.0
"[348.7457638085892, 352.69138301740225, 360.2313681526568, 349.7466388451299, 327.7581787975179, 343.59522092727553, 361.89327606939406]",no_action,0.0
"[361.89327606939406, 344.30757237807285, 365.52879174043835, 356.43083199167177, 338.5039910470385, 377.4398505170369, 335.4223290827662]",no_action,0.0
"[335.4223290827662, 323.4602989384877, 357.96714055244377, 362.6950679277658, 341.3662288309907, 356.75272520259426, 356.75272520259426]",no_action,100.0
"[356.75272520259426, 361.3121789473165, 341.1509670695171, 332.1316984193465, 332.1316984193465, 347.6571635853119, 347.6226635685501]",no_action,200.0
"[347.6226635685501, 336.68103023963477, 344.3636970802938, 359.1670499294742, 376.3119954349772, 334.9232724936976, 365.7355788455464]",no_action,0.0
"[365.7355788455464, 365.7355788455464, 365.7355788455464, 349.7435144770571, 379.9468164438165, 348.37809032986974, 366.1605829889172]",no_action,0.0
"[366.1605829889172, 345.81727196325016, 341.64454464641176, 366.9159211526825, 342.43171168063674, 365.1593515529695, 360.29896553646336]",no_action,0.0
"[360.29896553646336, 371.31775533016975, 365.2288709113502, 365.2288709113502, 347.9788592766203, 365.13177945622, 359.1446744669229]",no_action,0.0
"[359.1446744669229, 349.9222103308188, 339.9537363552067, 360.963372217685, 360.963372217685, 366.04362860144016, 366.04362860144016]",no_action,0.0
"[366.04362860144016, 362.55303657798504, 358.4001428320741, 358.4001428320741, 363.73385086369393, 354.8468730672276, 377.09977460699713]",no_action,0.0
"[377.09977460699713, 356.2346687543657, 366.1397977911827, 354.92301417662173, 355.0364244344897, 350.41204321873084, 328.16049576727954]",no_action,0.0
"[328.16049576727954, 341.4178154459261, 369.7340017167908, 349.9599236295748, 366.52040757787506, 349.06796341569424, 362.2997589270197]",no_action,0.0
"[362.2997589270197, 366.93408517977633, 366.93408517977633, 356.06355197895334, 381.61662463190197, 341.20012000112536, 336.9419990162826]",no_action,0.0
"[336.9419990162826, 370.2362190583264, 358.00770252954914, 335.2573813388715, 348.10799167239384, 360.2966722662037, 364.4989567568812]",no_action,0.0
"[364.4989567568812, 338.5755944851194, 368.90840442782627, 360.7208454995656, 356.8843719826615, 356.8843719826615, 375.13193215163074]",no_action,0.0
"[375.13193215163074, 349.5587952943978, 358.35706670080845, 366.4165970878828, 366.4165970878828, 311.0481000360645, 309.04335689980286]",no_action,900.0
"[309.04335689980286, 377.4074499064534, 332.53674394433637, 354.57460980219867, 372.1927739277201, 379.13426208333436, 374.42108059481853]",no_action,400.0
"[374.42108059481853, 345.4736396404635, 350.9583119363014, 376.91393733028417, 362.82499170773843, 360.239219518322, 351.31242043244214]",no_action,0.0
"[351.31242043244214, 367.8459215972013, 356.30581156447016, 367.11979434075334, 351.80022716426845, 361.6913958048497, 337.65510837181915]",no_action,0.0
"[337.65510837181915, 364.52550495026014, 363.5135398051614, 355.5875326913883, 353.10034755248086, 366.7590125464363, 366.7590125464363]",no_action,0.0
"[366.7590125464363, 348.8101113006627, 357.12637856298863, 381.7129889107024, 344.71863717027844, 374.212066140482, 359.54407342292035]",no_action,0.0
"[359.54407342292035, 354.99669045564804, 337.6563470415503, 376.1648262252465, 342.4098159504557, 384.9137120612758, 354.3232855829197]",no_action,0.0
"[354.3232855829197, 363.2196085231365, 356.5562214996146, 357.3348552157298, 350.1919262379435, 352.2260482560537, 354.84203094171966]",no_action,0.0
"[354.84203094171966, 334.8126239727261, 364.030410613108, 365.0315432456152, 337.804796480599, 329.8015424676992, 329.8015424676992]",no_action,200.0
"[329.8015424676992, 346.91685787930385, 346.91685787930385, 362.52162286237893, 369.7094789679503, 342.8532107858537, 368.8305204207588]",no_action,100.0
"[368.8305204207588, 354.237231453727, 356.03342696897363, 363.5107545807964, 351.2453368426272, 364.0118705327782, 347.81548708269366]",no_action,0.0
"[347.81548708269366, 363.38974666589394, 355.389628566623, 349.2821099738292, 332.01109734764395, 353.83217593381505, 370.1672349613023]",no_action,0.0
"[370.1672349613023, 370.1672349613023, 346.823902991738, 350.6622445482873, 358.318677323355, 367.40203947795544, 350.4487398945007]",no_action,0.0
"[350.4487398945007, 362.76586965479163, 343.95435452277457, 348.2788903033681, 376.9077107378086, 348.24244829145204, 367.0512446170166]",no_action,0.0
"[367.0512446170166, 339.1081442456985, 384.3229525681957, 379.8202835585066, 356.331405160526, 368.7275779857259, 351.71435159435106]",no_action,0.0
"[351.71435159435106, 368.20782491521766, 363.1030256058897, 364.9511590506021, 349.2612063651847, 341.05031542621094, 367.97948007157356]",no_action,0.0
"[367.97948007157356, 345.2986973303958, 376.3495370072141, 344.16209721468687, 355.7134667237746, 356.1519405846226, 361.65538339133866]",no_action,0.0
"[361.65538339133866, 361.65538339133866, 340.82185497322905, 329.4561206519626, 340.92916670882374, 336.8914094696568, 359.2780402908969]",no_action,100.0
"[359.2780402908969, 353.330117508058, 367.5517661434134, 362.2427893897811, 378.5472171258013, 361.42879052659885, 368.01539074927877]",no_action,0.0
"[368.01539074927877, 367.8882153669264, 358.925017616468, 355.7281042710381, 372.09075390306594, 352.2194273749214, 356.8105983930878]",no_action,0.0
"[356.8105983930878, 373.05134570623113, 373.485335637026, 383.5592185744767, 357.4535545764751, 363.3254669708038, 358.4311214155494]",no_action,0.0
"[358.4311214155494, 394.8319546847209, 339.7592347909478, 363.31752775071516, 349.0234589359136, 332.2789088680831, 365.52632764970105]",no_action,100.0
"[365.52632764970105, 346.78861474811606, 351.0216666490063, 351.0216666490063, 350.11026537801763, 320.554470907722, 335.8172426945604]",no_action,0.0
"[335.8172426945604, 372.5857517166082, 355.0145074348316, 348.6650370916961, 343.87560678128705, 350.7085706403157, 274.50554234299796]",no_action,2400.0
"[274.50554234299796, 314.2074737453271, 347.27442701521124, 357.41724264103306, 366.23726446032043, 356.69744391193643, 350.4727684224446]",no_action,3100.0
"[350.4727684224446, 364.53066400804755, 359.6676992234044, 356.8930403710879, 357.5170223381164, 350.63678003539053, 360.44204040002006]",no_action,100.0
"[360.44204040002006, 367.07731047522907, 349.4672928755515, 374.6789978683312, 343.05170558652276, 370.6437786563764, 368.6420727800861]",no_action,0.0
"[368.6420727800861, 358.03387597418157, 350.2062957051403, 339.91372121637926, 381.5510836503614, 372.90749675037824, 367.3944728432994]",no_action,0.0
"[367.3944728432994, 313.88772118035064, 347.3405175613812, 363.55164428169354, 355.79623197625807, 332.87924386503795, 365.8368804882011]",no_action,100.0
"[365.8368804882011, 346.0473833233381, 347.74817897942745, 361.98594773445393, 334.8414618747669, 346.69002949710574, 353.55978460035897]",no_action,100.0
"[353.55978460035897, 368.78897137080855, 354.98377631228675, 369.5956130256192, 357.38308216236976, 342.54238025753284, 371.44134771387536]",no_action,0.0
"[371.44134771387536, 350.4257914189183, 340.7913709813135, 344.4294924988401, 379.1410545363513, 358.45484820516265, 358.76370559408707]",no_action,0.0
"[358.76370559408707, 371.4648115428716, 355.81648433335056, 373.812939949771, 343.54033669246843, 370.0084173049105, 356.81997616490304]",no_action,0.0
"[356.81997616490304, 340.34022859995827, 346.76815903004416, 361.307594452002, 343.5752270343335, 308.81748975959306, 302.9460754225744]",no_action,1900.0
"[302.9460754225744, 343.2679862481277, 381.29075009854296, 382.81825132003115, 356.36024128872776, 359.4044662845533, 344.1041964778199]",no_action,400.0
"[344.1041964778199, 374.63606188119627, 364.66520963227924, 346.96236167812464, 335.4165254886236, 366.783567485734, 346.1691109800458]",no_action,0.0
"[346.1691109800458, 289.1740834482029, 361.90437110808205, 346.8667367905288, 383.95454647433064, 370.75091384355517, 354.11758556687477]",no_action,600.0
"[354.11758556687477, 359.674991891286, 358.56982360865794, 361.26875629520157, 363.1954902914232, 345.4272124584013, 372.8640327381128]",no_action,0.0
"[372.8640327381128, 342.7799972894888, 393.70809615491027, 341.91433218005415, 349.1566066974677, 351.6409140343251, 358.39368455495884]",no_action,0.0
"[358.39368455495884, 360.24682084768654, 376.5715810281172, 369.19593026389174, 357.4914760301017, 344.2446311273177, 370.3815107325204]",no_action,0.0
"[370.3815107325204, 373.54885418479415, 359.8724428415711, 370.2136727385686, 360.7597720317873, 355.42539956124426, 349.81287469145474]",no_action,0.0
"[349.81287469145474, 371.19881435932075, 359.7395564844978, 329.27313538297926, 372.12056752187794, 372.12056752187794, 347.7596577983303]",no_action,0.0
"[347.7596577983303, 362.0785841828064, 358.9397011691129, 364.55679788327126, 347.5253853586964, 367.2201755124095, 344.9569033920195]",no_action,0.0
"[344.9569033920195, 357.00916708058844, 363.6638267962767, 363.6638267962767, 351.17320774259315, 354.5496269897894, 345.617722405085]",no_action,0.0
"[345.617722405085, 355.14713948578907, 377.64980324875756, 374.45074394934323, 358.7968947271553, 362.89876511800844, 362.89876511800844]",no_action,100.0
"[362.89876511800844, 362.89876511800844, 349.9721375392653, 372.8210652912991, 367.3322167235412, 344.2803665840377, 350.69961517277085]",no_action,0.0
"[350.69961517277085, 366.41058150728463, 331.4162958975729, 361.4876643266187, 364.4023709918398, 344.50065551418396, 348.7453658705339]",no_action,0.0
"[348.7453658705339, 384.6725223443015, 359.308987986622, 362.60294925694, 365.09194800890987, 366.2251223570287, 374.43814491723066]",no_action,0.0
"[374.43814491723066, 365.13655876177916, 344.49100826597225, 346.3223654047027, 361.1032628237545, 361.16344609189275, 365.9736850889808]",no_action,0.0
"[365.9736850889808, 356.86445064043687, 357.7486537342279, 353.06133284732516, 372.2187295842401, 363.7473745854081, 356.30470629646265]",no_action,0.0
"[356.30470629646265, 355.33104508377255, 346.6514186119726, 359.93669160047693, 361.01676523347174, 345.81201117509204, 366.3767801417237]",no_action,0.0
"[366.3767801417237, 343.2186605508897, 347.5946309899456, 370.64127849589204, 347.39304448813175, 341.5944696158473, 330.3995041471602]",no_action,100.0
"[330.3995041471602, 345.7050011758006, 367.5616510960147, 346.7923868411446, 328.89928926867617, 337.0539181760099, 341.4484330845555]",no_action,700.0
"[341.4484330845555, 341.4484330845555, 337.82785021188243, 343.8483210367091, 343.629545701153, 371.8298765318581, 359.7825666900894]",no_action,100.0
"[359.7825666900894, 356.6970976414471, 359.40858908695327, 375.1048091104769, 350.0959973257941, 329.0227085398145, 370.87533518131715]",no_action,0.0
"[370.87533518131715, 360.8285981764622, 347.7027039421434, 352.4210097390687, 363.55673097854094, 369.872828185248, 335.636231758799]",no_action,0.0
"[335.636231758799, 318.5991901403901, 328.3325018542934, 333.2162354470339, 338.0193185817654, 359.8420458243846, 356.3773409514398]",no_action,600.0
"[356.3773409514398, 356.3773409514398, 370.35810848670195, 373.19018264723644, 345.94650574241336, 362.63689470401044, 363.27134462592335]",no_action,0.0
"[363.27134462592335, 373.5431358759963, 363.7621040892563, 368.7754587827124, 362.09797487657124, 362.09797487657124, 362.09797487657124]",no_action,0.0
"[362.09797487657124, 357.0899962244072, 342.58757071606215, 332.5690056880744, 359.4610179540292, 363.2295262240456, 353.51726219677687]",no_action,100.0
"[353.51726219677687, 354.21129110147785, 356.7669825162624, 384.8509853213175, 351.23972707849606, 343.36330089603825, 361.6128827998821]",no_action,100.0
"[361.6128827998821, 358.17407313580213, 361.25686250925366, 363.75628009097187, 368.0197753321719, 355.7852913649341, 356.7415960795929]",no_action,0.0
"[356.7415960795929, 345.95350096840053, 362.0250998349549, 362.0250998349549, 381.8956785558501, 340.77309545707897, 351.68355274429854]",no_action,100.0
"[351.68355274429854, 380.40597256440134, 351.2835038869893, 357.6821326196066, 357.6821326196066, 370.502629603405, 344.0637206588683]",no_action,0.0
"[344.0637206588683, 349.50931031874273, 334.081136123876, 381.27574419539417, 341.34293141674743, 358.0381373458479, 365.20685224753515]",no_action,100.0
"[365.20685224753515, 375.79400554133923, 381.993815373903, 362.4639361402721, 338.3173448048774, 354.9731680139293, 362.61612712362455]",no_action,100.0
"[362.61612712362455, 352.0414548477094, 353.29823621125576, 348.35830259779243, 370.8847934799692, 352.91062761908375, 352.91062761908375]",no_action,0.0
"[352.91062761908375, 335.6807291995223, 323.6972003576406, 365.0600085972738, 347.0853042558964, 380.9077831025501, 317.13651925740425]",no_action,400.0
"[317.13651925740425, 330.647428834245, 314.93556572215965, 390.86546876644593, 343.2929124382189, 364.156326835798, 374.8304574856193]",no_action,300.0
"[374.8304574856193, 331.3741985972926, 334.80124328555866, 336.63949039417975, 369.09051442987555, 372.534714610723, 352.71958227914826]",no_action,0.0
"[352.71958227914826, 376.66942760577035, 351.065091824048, 336.80398993626585, 381.0558982056379, 352.60538247465655, 362.08785860566866]",no_action,0.0
"[362.08785860566866, 363.43773530777764, 332.7150028452196, 353.59558373287956, 352.08942967856353, 358.8150668851742, 360.9933641475195]",no_action,0.0
"[360.9933641475195, 354.8926207614812, 359.16612910903564, 359.16612910903564, 366.07634495275676, 365.1044809321227, 366.0126882414198]",no_action,0.0
"[366.0126882414198, 355.1425678568567, 346.64008044965385, 334.7352017938045, 374.0142863611705, 348.39564409230013, 345.5399147112048]",no_action,0.0
"[345.5399147112048, 376.84099368604444, 349.9299536593903, 332.4466714624149, 349.95204736261087, 366.94291263629356, 360.19679260055676]",no_action,0.0
"[360.19679260055676, 370.90440469791594, 351.52045400333776, 325.18011795550024, 380.96733101314555, 323.5534853214879, 366.2933097390036]",no_action,100.0
"[366.2933097390036, 310.6890324551111, 389.2538554782661, 383.5877650957511, 360.17682688761766, 349.2705511621795, 349.2705511621795]",no_action,0.0
"[349.2705511621795, 344.78598538642314, 342.19244559265286, 366.0219672270032, 366.38462794193555, 359.41144165852734, 358.7128740879057]",no_action,0.0
"[358.7128740879057, 357.2510106105441, 351.7018683607721, 365.2579008584038, 350.7719288821183, 381.18729693933733, 358.13140214595]",no_action,0.0
"[358.13140214595, 361.7266187141495, 380.6489605906214, 357.1445624855187, 343.59247319584125, 367.0020628741812, 338.1946142323135]",no_action,0.0
"[338.1946142323135, 366.25309493612366, 345.3769651265831, 372.115290295517, 353.4700734923766, 338.82068675355254, 377.4757582697851]",no_action,200.0
"[377.4757582697851, 377.3019352514016, 377.3019352514016, 343.31308071436916, 342.2105450444515, 362.2197398917439, 367.55068052998325]",no_action,0.0
"[367.55068052998325, 367.55068052998325, 355.92816438142233, 342.4073452785023, 361.2570419221223, 360.8136190864541, 342.7209157830531]",no_action,0.0
"[342.7209157830531, 361.3516071803267, 342.33792264839525, 366.59768744200755, 357.9996520142742, 361.0071777864654, 366.66170829680266]",no_action,0.0
"[366.66170829680266, 350.99437337543134, 370.9606904242944, 370.9606904242944, 339.0149475418698, 368.70096589875715, 350.71993318273985]",no_action,0.0
"[350.71993318273985, 360.39343219303663, 371.55210023924536, 328.39265622178834, 342.6625547255289, 338.561199977848, 351.2516134249231]",no_action,100.0
"[351.2516134249231, 366.6017382943176, 359.6442296379949, 359.6442296379949, 348.7742863637899, 350.587894279103, 337.61693418642085]",no_action,0.0
"[337.61693418642085, 358.79488201630306, 325.0905675783893, 348.37703398285987, 367.6057265952395, 350.8037043851099, 377.09500079853126]",no_action,100.0
"[377.09500079853126, 336.78986677081156, 357.17263935298405, 367.52155827783974, 371.63135141921055, 358.8205967304914, 363.0308634443865]",no_action,0.0
"[363.0308634443865, 359.4611054201827, 353.3054770283565, 354.7054996532206, 361.6472823465315, 342.61996563161046, 316.9495918717873]",no_action,0.0
"[316.9495918717873, 377.8114756574814, 372.23240066778317, 353.7122653236417, 347.37117109564326, 339.7689992987724, 359.77252080618365]",no_action,100.0
"[359.77252080618365, 360.95551324879165, 307.0856405612918, 293.7218921253707, 299.0493825214499, 314.56184668474566, 323.54896540425847]",increase_resistance,3200.0
"[323.54896540425847, 368.9993897548909, 335.19049073136534, 365.5754819082951, 347.39051210270407, 349.44667412867676, 351.8141034055108]",no_action,300.0
"[351.8141034055108, 348.8333063600333, 375.7030188201316, 347.38029482076763, 368.76531501559714, 368.76531501559714, 372.8586252678171]",no_action,0.0
"[372.8586252678171, 343.0572495496966, 360.08607826276244, 353.2243333262084, 366.38634138946225, 360.92923949294584, 352.5508739224947]",no_action,0.0
"[352.5508739224947, 353.8611330758608, 326.830925305774, 328.0912873640371, 375.86869418618676, 368.89716280020724, 371.4258228714428]",no_action,0.0
"[371.4258228714428, 371.4258228714428, 355.7929261190542, 339.73073849205156, 336.4524244062865, 402.80745321650005, 368.20931450476434]",no_action,0.0
"[368.20931450476434, 338.35699706271, 334.3971062377196, 330.8725351533368, 376.90377651479594, 335.7072859989683, 365.74889978261086]",no_action,500.0
"[365.74889978261086, 340.2301700863874, 367.3220248464949, 345.8619415236641, 351.54991495569004, 370.7114112516656, 358.20144716647707]",no_action,0.0
"[358.20144716647707, 342.61193782670307, 367.2946922526912, 346.602203221922, 357.1969644006011, 343.8748051727912, 365.35234482462914]",no_action,0.0
"[365.35234482462914, 323.96038756240443, 361.17686655469885, 366.8741817624407, 360.0897632641181, 360.0897632641181, 334.4288602240829]",no_action,100.0
"[334.4288602240829, 353.03964392612943, 342.55796192083096, 363.9712588312732, 351.1971035078475, 358.67792110566876, 330.03925691860144]",no_action,100.0
"[330.03925691860144, 358.4535496410947, 311.3479096701395, 323.9283258245278, 319.2852835406499, 356.39121020820113, 370.50432643355754]",no_action,900.0
"[370.50432643355754, 369.36030782952093, 359.6586265039336, 351.6519212140974, 336.29563675833975, 351.77923954719284, 359.0888121351061]",no_action,0.0
"[359.0888121351061, 314.41155235295986, 341.31443139042017, 376.51389107430197, 347.4596977456405, 325.07738184558247, 320.08760500611083]",no_action,1400.0
"[320.08760500611083, 349.71890232661934, 318.91132274069764, 371.03006603502985, 356.2952282732526, 368.23049275275, 345.2365688228365]",no_action,700.0
"[345.2365688228365, 350.7171428996942, 384.20389178230937, 319.62821480866063, 386.09594683216017, 386.09594683216017, 385.8301774720528]",no_action,0.0
"[385.8301774720528, 332.18656797968765, 332.18656797968765, 378.0954244990206, 366.88334629343467, 346.36790237591435, 348.51877624371576]",no_action,200.0
"[348.51877624371576, 365.51207855946006, 339.41078418700965, 379.9273000843207, 341.7935213355732, 372.48144809789784, 372.17262609203664]",no_action,0.0
"[372.17262609203664, 340.2796598278813, 362.2043231274684, 353.30916522875776, 373.7045139653554, 343.61959010082256, 351.8620894229125]",no_action,100.0
"[351.8620894229125, 351.8620894229125, 341.50189872667613, 360.2439132227386, 351.2086751945782, 368.942671693626, 381.0831695697058]",no_action,0.0
"[381.0831695697058, 381.0831695697058, 340.52686354967506, 359.8961613767949, 376.63572186894885, 346.9833624300253, 362.5004579478225]",no_action,0.0
"[362.5004579478225, 342.45617115087765, 363.74123229150223, 360.2891724181627, 362.94697697183676, 354.83344136376957, 346.2041206812008]",no_action,0.0
"[346.2041206812008, 368.94360141339894, 355.5435541477208, 355.5435541477208, 357.67275178809047, 359.7668667107471, 368.0008684379208]",no_action,0.0
