σY,exp_action,expected_cost
255.7955603494367,change_operation,5000.0
258.3941205602513,change_operation,5000.0
263.2514320488556,change_operation,5000.0
263.2514320488556,change_operation,5000.0
269.38760858201147,change_operation,5000.0
274.50554234299796,increase_resistance,3000.0
277.2131608445327,increase_resistance,3000.0
278.8532331072276,increase_resistance,3000.0
281.0991026105673,increase_resistance,3000.0
285.0798786437735,increase_resistance,3000.0
286.23680744494214,increase_resistance,3000.0
286.271918303286,increase_resistance,3000.0
287.50066208317776,increase_resistance,3000.0
288.88911929003757,increase_resistance,3000.0
289.16331993713214,increase_resistance,3000.0
289.1740834482029,increase_resistance,3000.0
289.41856278462336,increase_resistance,3000.0
289.5981078011711,increase_resistance,3000.0
290.1521898236056,increase_resistance,3000.0
290.2341497995617,increase_resistance,3000.0
290.6060145801465,increase_resistance,3000.0
291.4489166911821,increase_resistance,3000.0
291.6654309002796,increase_resistance,3000.0
291.6725339637777,increase_resistance,3000.0
291.7676093517349,increase_resistance,3000.0
292.012664489338,increase_resistance,3000.0
293.7218921253707,increase_resistance,3000.0
293.8968562265024,increase_resistance,3000.0
294.11428319781487,increase_resistance,3000.0
294.20674813661924,increase_resistance,3000.0
294.5272980633054,increase_resistance,3000.0
294.7737469682183,increase_resistance,3000.0
295.6776681845231,increase_resistance,3000.0
296.4259719420576,increase_resistance,3000.0
296.45290567408256,increase_resistance,3000.0
296.5955273713222,increase_resistance,3000.0
296.8580041997331,increase_resistance,3000.0
297.09398491651365,increase_resistance,3000.0
297.48716792655216,increase_resistance,3000.0
297.5623494587843,increase_resistance,3000.0
298.0940524356538,increase_resistance,3000.0
299.0493825214499,increase_resistance,3000.0
299.0825908613541,increase_resistance,3000.0
299.17434619500824,increase_resistance,3000.0
299.68940787069624,increase_resistance,3000.0
300.3913747696952,no_action,0.0
300.6733339175625,no_action,0.0
300.89832596541953,no_action,0.0
300.9139182247797,no_action,0.0
302.4287222506124,no_action,0.0
302.6976853259288,no_action,0.0
302.9460754225744,no_action,0.0
303.0744364834904,no_action,0.0
303.2379708055998,no_action,0.0
303.93205679236905,no_action,0.0
303.97195758087395,no_action,0.0
304.1005800272387,no_action,0.0
304.20171113053146,no_action,0.0
304.3527063495394,no_action,0.0
304.38728657923537,no_action,0.0
304.63590925190334,no_action,0.0
304.73343609315737,no_action,0.0
304.82371894660395,no_action,0.0
305.0887561383754,no_action,0.0
305.5001140278085,no_action,0.0
305.6269669853473,no_action,0.0
305.7260655057715,no_action,0.0
305.808057999281,no_action,0.0
306.05292648015933,no_action,0.0
306.233044290612,no_action,0.0
306.33251435824013,no_action,0.0
306.4642235752167,no_action,0.0
306.7255969034393,no_action,0.0
306.9374095899899,no_action,0.0
306.9717018804152,no_action,0.0
307.0856405612918,no_action,0.0
307.3318836738168,no_action,0.0
307.67137635675857,no_action,0.0
307.74045500967077,no_action,0.0
308.044613542865,no_action,0.0
308.1084718122811,no_action,0.0
308.3469835837755,no_action,0.0
308.38129512489616,no_action,0.0
308.419156256747,no_action,0.0
308.4547777801777,no_action,0.0
308.5042063832849,no_action,0.0
308.6681292874118,no_action,0.0
308.78021471143853,no_action,0.0
308.81748975959306,no_action,0.0
308.94468748137155,no_action,0.0
309.04335689980286,no_action,0.0
309.0637884348782,no_action,0.0
309.16044120706204,no_action,0.0
309.24040385814817,no_action,0.0
309.4746269413122,no_action,0.0
309.6248766997014,no_action,0.0
310.34709857384826,no_action,0.0
310.48073546028587,no_action,0.0
310.50891136558187,no_action,0.0
310.51288976929106,no_action,0.0
310.6301314637536,no_action,0.0
310.6315369762519,no_action,0.0
310.6890324551111,no_action,0.0
310.73326612244307,no_action,0.0
310.7367847708962,no_action,0.0
310.93293520929524,no_action,0.0
311.0481000360645,no_action,0.0
311.3479096701395,no_action,0.0
311.42331233083644,no_action,0.0
311.44607283380077,no_action,0.0
311.5902741722774,no_action,0.0
311.6805831627909,no_action,0.0
311.73955858727754,no_action,0.0
311.90098108138255,no_action,0.0
312.1819730581041,no_action,0.0
312.22230703554686,no_action,0.0
312.5016998392793,no_action,0.0
