σY,exp_action,expected_cost
"[357.5620682548415, 336.7998867404653, 385.2503413960521, 393.0009505361521, 368.14222136214164, 314.51709940597436, 313.6618327943116]",no_action,500.0
"[313.6618327943116, 327.0636337722074, 282.13888327286986, 299.94614276928644, 320.5363393546461, 321.54429230722405, 341.112768296437]",increase_resistance,3500.0
"[341.112768296437, 341.4915442621033, 347.80993898550025, 343.17943116071086, 341.42125401775047, 289.6635160977535, 296.41918481699304]",increase_resistance,3200.0
"[296.41918481699304, 415.4989736660313, 280.21796252461843, 350.61627203506106, 302.831942582572, 338.0739671845632, 318.69192062364954]",increase_resistance,3500.0
"[318.69192062364954, 314.41190911134254, 312.746940917966, 317.8539033388279, 324.8615041666622, 351.91393961622015, 322.51610913080907]",increase_resistance,3300.0
"[322.51610913080907, 361.5674960006546, 426.4734757527709, 400.13291714964055, 382.2109619113224, 384.7011887003946, 369.6214539066619]",no_action,0.0
"[369.6214539066619, 356.8017655074534, 343.7705094215946, 348.5543140976494, 348.14951707354123, 325.6205563816722, 333.481154436964]",no_action,100.0
"[333.481154436964, 291.16392223705424, 291.1424708748044, 324.3572702725349, 330.2890713463706, 349.68221670641657, 346.13089700668417]",increase_resistance,3100.0
"[346.13089700668417, 403.68182542899046, 379.20573351931273, 404.8469656965707, 409.4210695634319, 337.0740798037002, 345.6848090315703]",no_action,0.0
"[345.6848090315703, 342.56663883838337, 342.2769950865745, 346.6372239931325, 346.6372239931325, 368.3566857342581, 350.520285374317]",no_action,0.0
"[350.520285374317, 340.7926965385166, 360.09580550271005, 344.3734042734516, 351.7717542040586, 355.69649577321263, 325.0692586008564]",no_action,100.0
"[325.0692586008564, 306.2613123504484, 326.2636003370089, 315.06292832034313, 343.8234563938093, 347.01732245485846, 341.5500949551728]",no_action,800.0
"[341.5500949551728, 329.15986303072907, 356.75920647754015, 365.8610253678447, 370.5842475968963, 370.5842475968963, 370.5842475968963]",no_action,0.0
"[370.5842475968963, 370.5842475968963, 364.0760275505223, 364.0760275505223, 364.0760275505223, 369.0277949847239, 369.0277949847239]",no_action,0.0
"[369.0277949847239, 369.0277949847239, 371.2169244380912, 371.2169244380912, 368.60045843876907, 384.5212047710757, 365.6810970070409]",no_action,0.0
"[365.6810970070409, 363.08044688186106, 366.67741344333996, 362.8738938001663, 374.01432259588825, 364.65801020108273, 359.6226320305902]",no_action,0.0
"[359.6226320305902, 359.6226320305902, 336.7163683867279, 336.7163683867279, 359.91177691034926, 351.11562846523447, 348.48674008734224]",no_action,0.0
"[348.48674008734224, 369.076476308939, 376.13535195529056, 407.3143779332158, 396.216840294551, 396.7738623400059, 283.9471658565833]",no_action,0.0
"[283.9471658565833, 291.519732188069, 298.8907395269597, 291.7698383349698, 312.5619362827761, 327.8127810397973, 303.30668818066243]",increase_resistance,4800.0
"[303.30668818066243, 304.70404559294855, 299.8058380820836, 332.2115684400435, 340.7714138516325, 309.5778213222888, 308.69918142983516]",increase_resistance,3200.0
"[308.69918142983516, 294.3785928661523, 331.25641974568316, 339.22125735885237, 289.8722807590992, 343.21495066514797, 342.07212550129316]",increase_resistance,3100.0
"[342.07212550129316, 320.9728583025879, 302.7221929655551, 314.19273385119476, 320.82569903088535, 300.5906398452138, 286.2315577006471]",increase_resistance,3500.0
"[286.2315577006471, 325.94987108396276, 275.5057366285151, 312.1609826292143, 313.9687813565593, 389.9563442093454, 362.7460123924988]",increase_resistance,3700.0
"[362.7460123924988, 354.5926009545254, 356.18576661502743, 349.4317969163049, 328.4361448555808, 362.85082397352267, 284.1015994112629]",no_action,300.0
"[284.1015994112629, 366.4201471248839, 391.2656254118947, 374.46809251849095, 306.0495831937687, 337.4355843050438, 306.0474200303665]",no_action,2100.0
"[306.0474200303665, 334.33213744424563, 372.5193803321885, 338.6311807767785, 399.4888664656258, 351.67750490247835, 292.65243448124227]",no_action,1200.0
"[292.65243448124227, 304.8972353065511, 289.4486239704791, 380.04481385848766, 381.46411664399864, 402.01553281830405, 398.4272958911425]",no_action,1800.0
"[398.4272958911425, 362.3849504225935, 356.3876905191559, 355.59055114135833, 377.30274863905885, 285.73645516495543, 312.3469033675884]",no_action,400.0
"[312.3469033675884, 329.4571719880536, 335.49370657555903, 310.60591049126447, 334.93964530110463, 342.53248727440155, 329.2361618509159]",no_action,1200.0
"[329.2361618509159, 365.07003948436613, 387.0237510199417, 364.14493751484616, 358.1989372954714, 365.0765251888467, 409.35305727427533]",no_action,0.0
